row_index,country,date,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,datestamp
30,Egypt,05/16/2020,11719,612,2950,8157,41,128.37,6.70,135000,1478.80,2020-05-16 12:00:07.1821860 -05:00
31,Colombia,05/16/2020,14939,562,3578,10799,137,296.57,11.16,177050,3514.82,2020-05-16 18:00:04.7724000 -05:00
32,Denmark,05/16/2020,10858,543,9107,1208,28,1899.24,94.98,444562,77761.22,2020-05-16 11:00:05.3358890 -05:00
33,Algeria,05/16/2020,6821,542,3409,2870,22,168.84,13.42,6500,160.89,2020-05-16 11:00:05.3358890 -05:00
34,Ukraine,05/16/2020,17858,497,4906,12455,231,418.29,11.64,220638,5168.09,2020-05-16 02:00:05.1034680 -05:00
35,Hungary,05/16/2020,3473,448,1371,1654,45,353.56,45.61,131429,13379.72,2020-05-16 01:00:04.8799020 -05:00
36,Dominican Republic,05/16/2020,12110,428,3726,7956,127,1201.98,42.48,50108,4973.48,2020-05-16 12:00:07.1811730 -05:00
37,Chile,05/16/2020,41428,421,18014,22993,751,2277.28,23.14,350325,19257.20,2020-05-16 11:00:05.3358890 -05:00
38,Argentina,05/16/2020,7479,363,2534,4582,170,171.57,8.33,100362,2302.39,2020-05-16 11:00:05.3358890 -05:00
39,Bangladesh,05/16/2020,20995,314,4117,16564,1,130.40,1.95,167114,1037.93,2020-05-16 04:00:04.3654140 -05:00
40,Saudi Arabia,05/16/2020,52016,302,23666,28048,166,1612.99,9.36,548023,16993.91,2020-05-16 09:00:04.9171840 -05:00
41,Finland,05/16/2020,6286,297,5000,989,30,1144.61,54.08,143900,26202.62,2020-05-16 05:00:04.8220580 -05:00
42,Czechia,05/16/2020,8455,296,5422,2737,39,800.77,28.03,348849,33039.56,2020-05-16 18:00:04.7724000 -05:00
43,Israel,05/16/2020,16608,268,12855,3485,59,1947.60,31.43,498711,58483.36,2020-05-16 13:00:06.3589060 -05:00
44,Panama,05/16/2020,9268,266,6080,2922,72,2429.57,69.73,47768,12522.18,2020-05-15 20:00:09.9529130 -05:00
45,S. Korea,05/16/2020,11037,262,9851,924,55,213.44,5.07,741145,14332.97,2020-05-15 21:00:06.6747910 -05:00
46,South Africa,05/16/2020,14355,261,6478,7616,119,244.24,4.44,439559,7478.67,2020-05-16 15:00:04.8794330 -05:00
47,Norway,05/16/2020,8237,232,32,7973,20,1576.99,44.42,216350,41420.52,2020-05-16 18:00:04.7724000 -05:00
48,Serbia,05/16/2020,10496,228,4479,5789,18,1483.25,32.22,174746,24694.29,2020-05-16 09:00:04.9171840 -05:00
49,UAE,05/16/2020,22627,214,7931,14482,1,2295.76,21.71,1560923,158372.87,2020-05-16 13:00:06.3589060 -05:00
50,Moldova,05/16/2020,5934,207,2344,3383,251,1670.09,58.26,20447,5754.69,2020-05-16 12:00:07.1872010 -05:00
51,Morocco,05/16/2020,6741,192,3487,3062,1,202.20,5.76,85004,2549.80,2020-05-16 12:00:07.1872010 -05:00
